ID,Name,Mmax,NMmin_Mmax,Beta,b,a
ES638,Norte de Cubillas,6.1,0.004975563243119568,2.3999999999999995,1.0423067565678041,1.866069277088223
ES639,E de Cubillas,5.8,0.003356745740880656,2.3999999999999995,1.0423067565678041,1.6951454728172788
ES640,Oeste de Cubillas,5.8,0.006456201530251936,2.3999999999999995,1.0423067565678041,1.9792041046937676
ES641,Obeilar Pinos Puente,6.0,0.062434002491653796,2.3999999999999995,1.0423067565678041,2.964648203655175
ES643,Tocon Obeilar,6.1,0.0059833723775918396,2.3999999999999995,1.0423067565678041,1.9461730584465093
ES644,Alitaje,5.9,0.007854597757494261,2.3999999999999995,1.0423067565678041,2.0643509755232583
ES646,Pinos Puente,6.1,0.05698812899920685,2.3999999999999995,1.0423067565678041,2.925011424977653
ES648,Pedro Ruiz,5.9,0.007241574327055398,2.3999999999999995,1.0423067565678041,2.0290600188808683
ES651,Atarfe,6.2,0.020839081370793745,2.3999999999999995,1.0423067565678041,2.4881055967341905
ES653,El Fargue Jun,6.3,0.04931508503209787,2.3999999999999995,1.0423067565678041,2.8622068125687083
ES655,Escoznar,6.1,0.004391265782138993,2.3999999999999995,1.0423067565678041,1.8118167499215256
ES656,Santa Fe,6.3,0.03133030891442454,2.3999999999999995,1.0423067565678041,2.6651917032840595
ES658,Granada,6.5,0.019437065059884604,2.3999999999999995,1.0423067565678041,2.457857714612266
ES660,Belicena Alhendin,6.2,0.014047327636311419,2.3999999999999995,1.0423067565678041,2.31682073818547
ES662,Huenes,6.2,0.0430030492391737,2.3999999999999995,1.0423067565678041,2.802726277683263
ES664,Dilar,6.1,0.041497734390640945,2.3999999999999995,1.0423067565678041,2.787251412898925
ES666,Padul Niguelas,6.0,0.04659341557377456,2.3999999999999995,1.0423067565678041,2.8375515742483444
ES673,Ventas de Zafarraya,6.5,0.07906457909250364,2.3999999999999995,1.0423067565678041,3.0672089895417334
ES675,Albunuelas,6.2,0.007864392311647279,2.3999999999999995,1.0423067565678041,2.0648921962191378
Z,Zone,5.0,0.47803526561169696,2.8,1.2160245493291049,4.543558133877521
