ID,MmaxC,btf,btz,MmaxZone
1.0,5.5,1.01,2.2700000000000014,5.0
2.0,5.5,1.03,2.4400000000000013,5.0
3.0,5.5,1.05,2.6200000000000014,5.0
4.0,5.5,1.07,2.8100000000000014,5.0
5.0,7.7,1.07,1.7800000000000007,5.9
6.0,7.7,1.1300000000000001,1.3600000000000003,5.8
7.0,7.7,1.1500000000000001,1.6700000000000006,5.9
8.0,7.7,1.1800000000000002,1.2700000000000002,5.8
9.0,7.7,1.2000000000000002,1.2300000000000002,5.8
10.0,7.7,1.2100000000000002,1.2100000000000002,5.8
11.0,7.7,1.2200000000000002,1.5500000000000005,5.9
12.0,7.7,1.2500000000000002,1.4900000000000004,5.9
13.0,7.7,1.2600000000000002,1.7600000000000007,6.0
14.0,7.7,1.2900000000000003,1.7000000000000006,6.0
15.0,7.7,1.3300000000000003,1.6100000000000005,6.0
16.0,7.7,1.3400000000000003,1.2700000000000002,5.9
17.0,7.7,1.3600000000000003,1.2100000000000002,5.9
18.0,7.7,1.4900000000000004,1.06,6.0
19.0,7.7,1.5000000000000004,1.01,6.0
